Name,Manufacturer,Column 3,Sorted Category,Form Factor,Tags,Parent,Version,Format,Notes,Model,Column 1
MetricAB,ADPTR,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,Mastering,,,"AU, VST3",,,
Rectangles,Ample Sound,Composition Tools,Composition Tools,Standalone,,,1.1.8,,"MIDI chord and progression tool — it helps you build chord progressions, voicings, and harmonic ideas quickly.",,
Playbeat 4,Audiomodern,Composition Tools,Composition Tools,"Plugin, Standalone",,,4.0.5,"AU, VST3",Creative / Intelligent groove maker / re-mixer,,
Riffer,Audiomodern,Composition Tools,Composition Tools,"Plugin, Standalone",,,3.1.1,"AU, VST3","Creative riff maker. Smart MIDI tool that generates sequences / melodies. Built for your sounds, synths, basslines, beats",,
basehead Connect,BaseHead,Management Tools,Management Tools,"Plugin, Standalone",,,2024.10,"AU, VST3",Sample Manager,,
Metering,IK Multimedia,Metering & Signal,Metering & Signal,Plugin,Mastering,,6.3.0,"AU, VST3","Mastering tool for providing standards for loudness, dynamics, frequency balance. [ peak meter, LUFS loudness meter, VU, PPM, Phase Scope, RTA, Spectrogram ] ",,
ARC 4,IK Multimedia,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,"Plugin, Standalone",,,4.0.1,"AU, VST3",Acoustic Correction for monitoring path,,
ARC X,IK Multimedia,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,"Plugin, Standalone",,,1.1.1,"AU, VST3","Acoustic calibration, intelligent tuning, advanced voicing, virtual monitoring. (VRM - Volumetric Response Modeling)",,
Fame Studio Reverb,IK Multimedia,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,Modeled,,6.3.0,"AU, VST3","Hybrid convolution reverb w/ 6 types of reverb (plate, chamber, 2 booths, 2 live rooms). Modeling engine w/ generic mic emulation. NOTE: (Place on master buss, and bypass it when bouncing the mix) REFERENCE ONLY",,
Sunset Sound Studio Reverb,IK Multimedia,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,Modeled,,6.3.0,"AU, VST3","Hybrid convolution reverb w/ 12 categories of reverb.  REFERENCE ONLY (Place on master buss, and bypass it when bouncing the mix) ",,
