reference_tool_id,brand_id,model_ids,tool_name,version,tool_types,plugin_formats,description,workflow_notes,tags
02d1d4b0-2933-4460-ad3c-d59d47ec4a55,866e60e6-1f61-11f1-a0d3-0072ee78ad39,,MetricAB,,Plugin,"AU,VST3",,,Mastering
2e9bc9e5-ecf3-43c3-b314-9004ea94279a,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,,ARC 4,4.0.1,"Plugin,Standalone","AU,VST3",Acoustic Correction for monitoring path,,
6f49352e-ac11-4fb3-a2fd-9d54acb461ae,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,,ARC X,1.1.1,"Plugin,Standalone","AU,VST3","Acoustic calibration, intelligent tuning, advanced voicing, virtual monitoring. (VRM - Volumetric Response Modeling)",,
7a6c4e54-6f3a-49e1-9a23-5a0145b26514,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,,Fame Studio Reverb,6.3.0,Plugin,"AU,VST3","Hybrid convolution reverb w/ 6 types of reverb (plate, chamber, 2 booths, 2 live rooms). Modeling engine w/ generic mic emulation. NOTE: (Place on master buss, and bypass it when bouncing the mix) REFERENCE ONLY",,Modeled
4609c880-f925-4480-936f-654b802f40bb,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,,Sunset Sound Studio Reverb,6.3.0,Plugin,"AU,VST3","Hybrid convolution reverb w/ 12 categories of reverb.  REFERENCE ONLY (Place on master buss, and bypass it when bouncing the mix)",,Modeled
b7c100d9-bbf7-4c08-a2dd-ad3bf14927a8,acd9f372-74fb-4c7d-b2a3-ea540c5917f2,,The Farm Stone Room,6.3.0,Plugin,"AU,VST3","Hybrid convolution reverb. 2 rooms [Stereo Room (Compressor, 3-Band EQ) captured by Neumann U87
- Mono Crush (SSL Mic Compressor, 3-Band EQ) captured by STC4035] REFERENCE ONLY: (Place on master buss, and bypass it when bouncing the mix).",,Modeled
1a23222b-e291-4281-9a1f-dffdbd2d4e30,217fac0c-b73f-4037-9617-75f0005ee381,,Sound ID Reference,5.13.2,"Plugin,Standalone","AU,VST3",,,
fab9f027-a865-4238-8f63-259bbf9c6b5a,52ca057c-1c70-4093-81ad-720a2ba3ac60,eab3398f-fcbb-40b8-86f3-e7f2d0466ace,Abbey Road Studio 3,16.7.33,Plugin,AU,spatial reference for headphone mix.,,Modeled
81736823-e157-440b-9e83-99b12e049aa5,52ca057c-1c70-4093-81ad-720a2ba3ac60,daa4da14-30c8-4594-bc0e-fb7182bd02f1,CLA Nx,16.7.33,Plugin,AU,(Chris Lord-Alge) psychoacoustic reference mixing / monitoring,,Modeled
58f221db-825c-46e5-880e-de3b757782b6,52ca057c-1c70-4093-81ad-720a2ba3ac60,,NX,16.7.33,Plugin,AU,"Reference spatial processing for mixes. (Place on master buss, and bypass it when bouncing the mix) REFERENCE ONLY NOTE: manual / system has list of headphones to adjust for",,
0c9c8880-eb6f-409f-bf9f-f1c214bdc996,52ca057c-1c70-4093-81ad-720a2ba3ac60,,Nx Ambisonics,16.7.33,Plugin,AU,Quad,,
9d4469e1-1271-4da7-b690-4458f57a32da,52ca057c-1c70-4093-81ad-720a2ba3ac60,3d327a1c-d2db-4d93-864c-f7c11b9772e8,Nx Germano Studios,16.7.33,Plugin,AU,"Reference spatial processing for mixes. (Place on master buss, and bypass it when bouncing the mix) REFERENCE ONLY",,Modeled
84690c41-dd61-46ad-a61b-33911c5ac9d8,52ca057c-1c70-4093-81ad-720a2ba3ac60,7062f522-fe80-4ba2-8f64-13440dfef129,Nx Ocean Way Nashville,16.7.33,Plugin,AU,"Reference spatial processing for mixes. (Place on master buss, and bypass it when bouncing the mix) REFERENCE ONLY",,Modeled
d859fe53-b0ae-4b34-a45d-aa27788e3cac,52ca057c-1c70-4093-81ad-720a2ba3ac60,,TRACT,16.7.33,Plugin,AU,(Time and Response Auto Correction Tool) Mostly used for live performance but can be used for performing acoustical room correction,,
